county,stn1,stn2,stn3,stn4
台北市,臺北 TAIPEI (466920),文山 Wenshan (C0AC80),信義 Xinyi (C0AC70),
新北市,板橋 BANQIAO (466880),三重 Sanchong (C0A9I1),中和 Zhonghe (C0AG90),
台南市,臺南 TAINAN (467410),永康 YONGKANG (467420),善化 Shanhua (C0O900),臺南市北區 Beiqu Tainan City (C0X100)
高雄市,高雄 KAOHSIUNG (467440),楠梓 Nanzi (C0V670),路竹 Luzhu (C0V750),三民 Sanmin (C0V700)
基隆市,基隆 KEELUNG (466940),,,
桃園市,桃園 Taoyuan (C0C480),楊梅 Yangmei (C0C660),八德 Bade (C0C490),
新竹市,新竹市東區 Dongqu Hsinshu City (C0D660),,,
新竹縣,新竹 HSINCHU (467571),湖口 Hukou (C0D650),新豐 Sinfong (C0D590),
苗栗縣,苗栗 Miaoli (C0E750),苑裡 YUANLI (C0E830),,
南投縣,埔里 Puli (C0H890),草屯 Caotun (C0H960),,
彰化縣,鹿港 Lukang (C0G640),員林 Yuanlin (C0G650),田尾 Tianwei (C0G820),
雲林縣,斗南 Dounan (C0K460),虎尾 Huwei (C0K330),斗六 Douliu (C0K400),
嘉義市,嘉義 CHIAYI (467480),,,
嘉義縣,東石 Dongshi (C0M710),太保 Taibao (C0M680),民雄 Minxiong (C0M760),
屏東縣,恆春 HENGCHUN (467590),春日 Chunri (C0R260),東港 Donggang (C0R430),
宜蘭縣,宜蘭 YILAN (467080),蘇澳 SU-AO (467060),,
花蓮縣,花蓮 HUALIEN (466990),水源 Shuiyuan (C0T9B0),,
台東縣,臺東 TAITUNG (467660),,123,
台中市,臺中 TAICHUNG (467490),豐原 Fengyuan (C0F9M0),烏日 Wuri (C0F9S0),
